Date,Close
2017-01-02,12.240000
2017-01-03,12.050000
2017-01-04,12.160000
2017-01-05,12.270000
2017-01-06,12.370000
2017-01-09,12.990000
2017-01-10,13.250000
2017-01-11,13.110000
2017-01-12,13.160000
2017-01-13,13.180000
2017-01-16,13.700000
2017-01-17,14.100000
2017-01-18,13.890000
2017-01-19,13.680000
2017-01-20,13.720000
2017-01-23,13.700000
2017-01-24,13.510000
2017-01-25,13.060000
2017-01-26,13.440000
2017-01-27,13.320000
2017-01-30,13.580000
2017-01-31,13.660000
2017-02-01,13.680000
2017-02-02,13.620000
2017-02-03,13.650000
2017-02-06,14.020000
2017-02-07,14.000000
2017-02-08,13.920000
2017-02-09,13.900000
2017-02-10,13.940000
2017-02-13,13.930000
2017-02-14,13.780000
2017-02-15,13.470000
2017-02-16,13.350000
2017-02-17,13.350000
2017-02-20,13.350000
2017-02-21,13.920000
2017-02-22,13.890000
2017-02-23,14.200000
2017-02-24,14.200000
2017-02-27,14.580000
2017-02-28,15.150000
2017-03-01,15.990000
2017-03-02,15.770000
2017-03-03,15.780000
2017-03-06,15.890000
2017-03-07,16.480000
2017-03-08,16.780000
2017-03-09,16.550000
2017-03-10,16.820000
2017-03-13,17.320000
2017-03-14,17.900000
2017-03-15,17.760000
2017-03-16,17.550000
2017-03-17,17.350000
2017-03-20,17.480000
2017-03-21,17.060000
2017-03-22,17.130000
2017-03-23,17.140000
2017-03-24,17.140000
2017-03-27,16.820000
2017-03-28,16.900000
2017-03-29,17.140000
2017-03-30,17.250000
2017-03-31,16.990000
2017-04-03,17.140000
2017-04-04,17.090000
2017-04-05,17.160000
2017-04-06,16.990000
2017-04-07,17.000000
2017-04-10,17.150000
2017-04-11,17.080000
2017-04-12,17.120000
2017-04-13,16.900000
2017-04-14,16.970000
2017-04-17,17.120000
2017-04-18,17.230000
2017-04-19,18.030000
2017-04-20,19.170000
2017-04-21,18.800000
2017-04-24,18.800000
2017-04-25,18.700000
2017-04-26,18.810000
2017-04-27,18.830000
2017-04-28,19.530000
2017-05-02,20.680000
2017-05-03,20.280000
2017-05-04,20.900000
2017-05-05,21.180000
2017-05-08,21.140000
2017-05-09,20.900000
2017-05-10,20.980000
2017-05-11,20.740000
2017-05-12,20.640000
2017-05-15,21.200000
2017-05-16,22.000000
